year,stock_nominal,bond_nominal,inflation,stock_real,bond_real
1979,0.171702,-0.012962,0.139092,0.028628,-0.133487
1980,0.260645,0.006756,0.118252,0.127335,-0.099705
1981,-0.071929,0.027530,0.083908,-0.143773,-0.052014
1982,0.301344,0.431972,0.037116,0.254772,0.380725
1983,0.203866,0.038687,0.041922,0.155428,-0.003105
1984,0.079408,0.149960,0.035329,0.042575,0.110720
1985,0.264065,0.270573,0.038863,0.216778,0.223043
1986,0.314130,0.242800,0.014599,0.295222,0.224918
1987,-0.023768,-0.026351,0.040468,-0.061737,-0.064219
1988,0.179599,0.061969,0.046672,0.126999,0.014614
1989,0.230107,0.152685,0.052023,0.169278,0.095684
1990,-0.008277,0.097304,0.056515,-0.061326,0.038607
1991,0.319560,0.163260,0.026003,0.286117,0.133778
1992,0.077425,0.105266,0.032585,0.043425,0.070387
1993,0.117099,0.128193,0.025245,0.089592,0.100412
1994,0.011625,-0.073082,0.028044,-0.015971,-0.098367
1995,0.353293,0.243504,0.027279,0.317358,0.210483
1996,0.273799,-0.005264,0.030440,0.236169,-0.034650
1997,0.279168,0.150144,0.015713,0.259379,0.132351
1998,0.315153,0.122114,0.016708,0.293540,0.103674
1999,0.155788,-0.086709,0.027389,0.124977,-0.111056
2000,-0.052137,0.186630,0.037322,-0.086241,0.143936
2001,-0.134734,0.060409,0.011422,-0.144505,0.048433
2002,-0.201255,0.131814,0.025974,-0.221477,0.103160
2003,0.285842,0.031009,0.019263,0.261541,0.011524
2004,0.060602,0.036807,0.029698,0.030013,0.006905
2005,0.101416,0.026671,0.039853,0.059203,-0.012677
2006,0.133949,0.020747,0.020756,0.110891,-0.000009
2007,-0.014236,0.136037,0.042803,-0.054698,0.089408
2008,-0.356304,0.147711,0.000298,-0.356496,0.147368
2009,0.332576,-0.068747,0.026257,0.298481,-0.092573
2010,0.163875,0.060972,0.016318,0.145187,0.043937
2011,0.034080,0.161510,0.029252,0.004691,0.128499
2012,0.162260,0.023226,0.015949,0.144014,0.007163
2013,0.256086,-0.059099,0.015789,0.236562,-0.073724
2014,0.134790,0.117725,-0.000893,0.135805,0.118724
2015,-0.034418,0.002090,0.013731,-0.047497,-0.011483
2016,0.211129,-0.012519,0.025000,0.181588,-0.036604
2017,0.249941,0.009945,0.020705,0.224586,-0.010542
2018,-0.047478,0.017521,0.015512,-0.062028,0.001978
2019,0.281501,0.110340,0.024866,0.250409,0.083400
2020,0.178649,0.073093,0.013998,0.162379,0.058280
2021,0.222143,-0.047918,0.074799,0.137091,-0.114177
2022,-0.120094,-0.118956,0.064101,-0.173100,-0.172030
